x,y,z
-0.28463,-0.404758,0.509891
-0.268458,-0.397353,0.496481
-0.265783,-0.400682,0.494251
-0.248866,-0.397842,0.480211
-0.246188,-0.400948,0.47798
-0.207225,-0.399813,0.445628
-0.199518,-0.397318,0.439235
-0.195052,-0.400314,0.435519
-0.164387,-0.457164,0.409908
-0.476818,-1.22953,0.667336
-0.227609,-0.64122,0.461927
-0.211389,-0.633873,0.448478
-0.476929,-1.3861,0.667021
-0.480746,-1.4125,0.670122
-0.516346,-1.52891,0.699381
-0.527197,-1.57748,0.708265
-0.526314,-1.61201,0.707442
-0.520393,-1.6525,0.70242
-0.522704,-1.70013,0.704215
-0.526635,-1.777,0.70728
-0.524584,-1.81576,0.705476
-0.521224,-1.8518,0.702592
-0.523094,-1.90758,0.704
-0.520827,-1.95131,0.702003
-0.516468,-1.98948,0.698285
-0.516909,-2.01897,0.698575
-0.516981,-2.07713,0.698483
-0.52445,-2.13614,0.704531
-0.52066,-2.15253,0.701342
-0.516294,-2.16701,0.697679
-0.495581,-2.1808,0.680443
-0.453344,-2.17002,0.645398
-0.44501,-2.16789,0.638484
-0.391265,-2.17191,0.593845
-0.346397,-2.17944,0.556567
-0.33826,-2.17663,0.549818
-0.292874,-2.17839,0.512125
-0.288149,-2.25276,0.508009
-0.273017,-2.25621,0.495435
-0.259058,-2.20856,0.483967
-0.249529,-2.19336,0.476094
-0.228225,-2.20475,0.458374
-0.213417,-2.20753,0.44607
-0.201096,-2.16228,0.435957
-0.193837,-2.16354,0.429926
-0.176866,-2.21969,0.415688
-0.150524,-2.17419,0.393932
-0.143225,-2.17515,0.387869
-0.132245,-2.22776,0.378614
-0.128358,-2.28143,0.375247
-0.096782,-2.26757,0.349063
-0.075313,-2.30038,0.33115
0.010011,-0.4465,0.265118
0.027882,-0.397994,0.250405
0.029206,-0.395982,0.249311
0.035821,-0.343781,0.243954
0.050642,-0.376678,0.231561
0.090545,-0.383013,0.19841
0.101171,-0.381806,0.18959
0.149913,-0.386988,0.149102
0.151211,-0.386284,0.148025
0.170105,-0.409346,0.132277
0.201208,-0.381411,0.106522
0.209946,-0.385036,0.099257
0.24022,-0.427519,0.074007
0.250811,-0.427961,0.065211
0.267914,-0.456337,0.050936
0.269445,-0.454962,0.049668
0.301512,-0.474129,0.02299
0.398004,-0.623502,-0.057523
0.400096,-0.621386,-0.059255
0.299551,-0.441936,0.024703
0.301034,-0.440381,0.023475
0.351449,-0.437051,-0.01838
0.391002,-0.404261,-0.051138
0.402317,-0.402282,-0.060529
0.406204,-0.399259,-0.063748
0.450169,-0.407053,-0.100277
0.533335,-0.435551,-0.16941
0.558587,-0.452935,-0.190424
0.571315,-0.454985,-0.200999
0.605951,-0.456491,-0.229764
0.618652,-0.448302,-0.240288
0.621586,-0.397787,-0.242594
0.614639,-0.347786,-0.236695
0.615299,-0.297005,-0.237111
0.610433,-0.249666,-0.232948
0.612874,-0.196495,-0.234836
0.620314,-0.149415,-0.240892
0.618995,-0.097371,-0.239661
0.619453,-0.049931,-0.239918
0.61108,0.050323,-0.232705
0.616515,0.101453,-0.237085
